Time,Z19_B,Z19_D,H20_B,H20_D
2019-10-16 11:26:00+00:00,8214.5,8211.5,8281.0,8288.5
2019-10-16 11:27:00+00:00,0.0,,8281.0,
2019-10-16 11:28:00+00:00,8214.5,8210.194623655914,8281.0,8288.5
2019-10-16 11:29:00+00:00,0.0,8210.0,8281.0,8285.572146917359
2019-10-16 11:30:00+00:00,8214.5,8207.631515711646,8281.0,8282.209995800084
2019-10-16 11:31:00+00:00,8213.5524,8203.0,8277.4605,
2019-10-16 11:32:00+00:00,8207.4852,8203.0,8267.8793,8279.0
2019-10-16 11:33:00+00:00,8207.0,8197.178203240059,8267.0,8278.5
2019-10-16 11:34:00+00:00,8207.0,8200.0,8267.0,
2019-10-16 11:35:00+00:00,8204.1185,8200.0,8265.1459,8278.5
2019-10-16 11:36:00+00:00,8200.7545,8194.117505397775,8264.5,8269.273897058823
2019-10-16 11:37:00+00:00,8198.0653,8198.971469040875,8262.4143,8269.733333333334
2019-10-16 11:38:00+00:00,8192.0,8170.922620029698,8256.2748,8246.99510887587
2019-10-16 11:39:00+00:00,8178.6211,8180.634591507325,8237.2323,8258.947353154459
2019-10-16 11:40:00+00:00,8181.2976,8144.6243834771885,8243.3435,8216.1243229352
2019-10-16 11:41:00+00:00,8138.6832,8099.940492407881,8214.226999999999,8168.888435906739
2019-10-16 11:42:00+00:00,8110.9579,8128.517146699541,8165.265,8201.503865094763
2019-10-16 11:43:00+00:00,8126.1173,8138.318841087444,8182.6364,8216.142436400887
2019-10-16 11:44:00+00:00,8141.3336,8143.469041357877,8202.0997,8216.103608847498
2019-10-16 11:45:00+00:00,8144.649,8129.098488152347,8207.4852,8200.329418559877
2019-10-16 11:46:00+00:00,8130.0813,8133.646274509804,8190.679,8206.04874310239
2019-10-16 11:47:00+00:00,8130.7423,8127.222096814648,8192.6921,8204.923034021194
2019-10-16 11:48:00+00:00,8128.7596,8133.98006932409,8191.3499,8217.271028037383
2019-10-16 11:49:00+00:00,8135.3726,8137.007042253521,8196.0495,8214.864224137931
2019-10-16 11:50:00+00:00,8140.0081,8133.090368608799,8204.7916,8206.533018867925
2019-10-16 11:51:00+00:00,8134.7108,8130.875202593193,8199.4096,8210.860869565216
2019-10-16 11:52:00+00:00,8134.0491,8127.575723830735,8198.7374,8206.58510638298
2019-10-16 11:53:00+00:00,8134.7108,8132.189300411523,8197.3932,8208.476666666667
2019-10-16 11:54:00+00:00,8135.3726,8137.526490066225,8196.0495,8212.0
2019-10-16 11:55:00+00:00,8132.7261,8132.0,8200.082,8212.933242506811
2019-10-16 11:56:00+00:00,8132.0647,8135.470183486239,8199.5,8214.310240963856
2019-10-16 11:57:00+00:00,8141.3336,8134.335862619809,8217.6021,8224.771921182266
2019-10-16 11:58:00+00:00,8134.7108,8127.748681898067,8203.4454,8208.016509433963
2019-10-16 11:59:00+00:00,8132.0647,8126.597222222223,8199.4096,8207.88262910798
2019-10-16 12:00:00+00:00,8132.7261,8113.662504491556,8195.3778,8193.222388059701
2019-10-16 12:01:00+00:00,8129.4204,8110.191335740073,8185.3155,8190.93237704918
2019-10-16 12:02:00+00:00,8116.8831,8105.534222737819,8183.3061,8182.666666666667
2019-10-16 12:03:00+00:00,8112.932,8111.404051172708,8179.9591,8193.807228915663
2019-10-16 12:04:00+00:00,8112.932,8117.593930635838,8181.9669,8195.545454545454
2019-10-16 12:05:00+00:00,8122.816999999999,8118.013698630137,8187.9964,8197.55
2019-10-16 12:06:00+00:00,8122.1572,8117.135416666667,8188.5,8194.0
2019-10-16 12:07:00+00:00,8118.8601,8121.133333333333,8185.9856,8200.633333333333
2019-10-16 12:08:00+00:00,8122.816999999999,8111.5123674911665,8185.9856,8196.610328638497
2019-10-16 12:09:00+00:00,8120.1786,8111.351807228915,8187.9964,8190.967005076142
2019-10-16 12:10:00+00:00,8113.5903,8115.35632183908,8179.9591,8195.93837535014
2019-10-16 12:11:00+00:00,8118.201,8111.510416666667,8185.9856,8195.944444444445
2019-10-16 12:12:00+00:00,8118.0,8113.2734375,8187.5,8199.620940649496
2019-10-16 12:13:00+00:00,8118.8601,,8190.679,8197.866666666667
2019-10-16 12:14:00+00:00,0.0,8117.0,8190.0082,8195.5
2019-10-16 12:15:00+00:00,8125.0,8115.7,8190.0,
2019-10-16 12:16:00+00:00,8123.5,8106.1035242290745,8185.9856,8187.138863841298
2019-10-16 12:17:00+00:00,8114.2486,8100.910256410257,8179.9591,8184.873205741626
2019-10-16 12:18:00+00:00,8105.6983,8094.21640625,8174.6097,8171.3524090048395
2019-10-16 12:19:00+00:00,8094.5443,8098.537955964509,8168.5999,8175.0
2019-10-16 12:20:00+00:00,8097.8217,8099.960732984293,8163.2653,8182.724137931034
2019-10-16 12:21:00+00:00,8099.7894,8103.422468354431,8163.9317,8182.501457725947
2019-10-16 12:22:00+00:00,8103.7277,8114.3963414634145,8170.0,8180.955319148936
2019-10-16 12:23:00+00:00,8107.0126,8114.924633936262,8171.9376,8184.471014492754
2019-10-16 12:24:00+00:00,8111.6158,8107.352441613588,8177.2835,8184.0
2019-10-16 12:25:00+00:00,8109.0,8088.790103608431,8175.5,8163.34853973285
2019-10-16 12:26:00+00:00,8087.9974,8086.47740649326,8152.616999999999,8152.89348785872
2019-10-16 12:27:00+00:00,8087.9974,8068.332270460306,8153.2817,8148.664764621969
2019-10-16 12:28:00+00:00,8068.4202,8084.909388646288,8124.7969,8164.275175644028
2019-10-16 12:29:00+00:00,8081.4611,8074.258108636186,8143.3225,8158.0536876355745
2019-10-16 12:30:00+00:00,8077.5444,8042.145262756561,8141.9964,8116.607317755702
2019-10-16 12:31:00+00:00,8039.2314,8028.383804437897,8108.9848,8095.956074939714
2019-10-16 12:32:00+00:00,8023.1065,8025.408245445829,8087.9974,8090.341248900616
2019-10-16 12:33:00+00:00,8014.7471,8028.928598720031,8078.8496,8107.964370209142
2019-10-16 12:34:00+00:00,8018.6032,8041.008779264214,8080.1551,8116.238163558106
2019-10-16 12:35:00+00:00,8035.3556,8033.591040141939,8101.1017,8109.344387755102
2019-10-16 12:36:00+00:00,8028.9041,8021.0728019577,8087.9974,8102.395824078188
2019-10-16 12:37:00+00:00,8026.9706,8045.338445807771,8089.3059,8123.636434410277
2019-10-16 12:38:00+00:00,8037.9391,8045.6369178492905,8105.0413,8116.02427184466
2019-10-16 12:39:00+00:00,8041.8175,8042.09278971681,8103.0711,8111.494905130007
2019-10-16 12:40:00+00:00,8037.9391,8040.561700526712,8098.0,8115.163787145819
2019-10-16 12:41:00+00:00,8041.8175,8052.72960470984,8099.7894,8132.224279835391
2019-10-16 12:42:00+00:00,8048.9375,8071.752648687696,8112.932,8151.212425975087
2019-10-16 12:43:00+00:00,8069.0712,8064.967361835245,8132.7261,8145.896876841485
2019-10-16 12:44:00+00:00,8068.4202,8063.430910281598,8126.1173,8140.2211981566825
2019-10-16 12:45:00+00:00,8065.8171,8059.733918128655,8125.4571,8133.4953271028035
2019-10-16 12:46:00+00:00,8065.8171,8054.011641443539,8123.4768,8128.865384615385
2019-10-16 12:47:00+00:00,8059.3166,8056.437453183521,8115.5657,8137.018799710773
2019-10-16 12:48:00+00:00,8058.6671,8052.280190768182,8116.2243,8130.795646523717
2019-10-16 12:49:00+00:00,8048.9375,8055.203963267279,8113.5903,8135.419811320755
2019-10-16 12:50:00+00:00,8053.4751,8045.4457627118645,8118.201,8127.727902205505
2019-10-16 12:51:00+00:00,8050.8816,8041.217447916667,8116.2243,8127.5
2019-10-16 12:52:00+00:00,8046.9944,8054.431523022432,8108.3273,8136.080340144688
2019-10-16 12:53:00+00:00,8050.2335,8056.528242888844,8120.8381,8140.629411764706
2019-10-16 12:54:00+00:00,8063.8658,8059.132352941177,8126.7777,8143.399474375821
2019-10-16 12:55:00+00:00,8061.9155,8067.372180451128,8126.1173,8151.960900473934
2019-10-16 12:56:00+00:00,8067.7693,8064.767241379311,8132.0647,8152.940860215053
2019-10-16 12:57:00+00:00,8067.1184,8064.818681318681,8128.0988,8150.242990654206
2019-10-16 12:58:00+00:00,8064.5161,8060.394736842105,8127.4382,8143.0
2019-10-16 12:59:00+00:00,8063.0,8059.5,8121.4976,8142.5
2019-10-16 13:00:00+00:00,8061.9155,8045.965272591487,8121.4976,8140.18308080808
2019-10-16 13:01:00+00:00,8049.5854,8043.225620567376,8119.5193,8128.578668478261
2019-10-16 13:02:00+00:00,8047.642,8046.5,8110.5,
2019-10-16 13:03:00+00:00,8046.347,8058.15625,8107.6699,8136.08371040724
2019-10-16 13:04:00+00:00,8048.2897,8059.298387096775,8121.4976,8140.035714285715
2019-10-16 13:05:00+00:00,8058.6671,8061.304487179487,8120.1786,8142.783464566929
2019-10-16 13:06:00+00:00,8063.2156,8062.541666666667,8126.1173,8146.0
2019-10-16 13:07:00+00:00,8068.4202,8060.315151515151,8132.7261,8146.444444444444
2019-10-16 13:08:00+00:00,8065.8171,8061.949044585987,8129.4204,8146.6875
2019-10-16 13:09:00+00:00,8063.2156,8067.165983606557,8126.7777,8148.890891840607
2019-10-16 13:10:00+00:00,8067.1184,8068.289290378755,8134.0491,8154.511075949367
2019-10-16 13:11:00+00:00,8072.9797,8064.890625,8137.3586,8149.5
2019-10-16 13:12:00+00:00,0.0,8065.012969588551,8133.3876,8150.005353319058
2019-10-16 13:13:00+00:00,8072.3281,8069.414634146341,8134.7108,8155.547193877551
2019-10-16 13:14:00+00:00,8072.9797,8062.507343941248,8136.6965,8149.579255685734
2019-10-16 13:15:00+00:00,8071.025,8066.612731152205,8134.5,8151.933104177684
2019-10-16 13:16:00+00:00,8070.3737,,8134.7108,
2019-10-16 13:17:00+00:00,8072.9797,8069.931034482759,8138.0208,
2019-10-16 13:18:00+00:00,8075.0,8071.1633245877065,8141.3336,8154.529529130088
2019-10-16 13:19:00+00:00,8076.892,8070.27027027027,8141.3336,8156.5226781857455
2019-10-16 13:20:00+00:00,8078.1969,8072.0,8142.6594,8153.261682242991
2019-10-16 13:21:00+00:00,8077.5,,8142.6594,8155.5
2019-10-16 13:22:00+00:00,0.0,8070.05,8142.0,8155.961538461538
2019-10-16 13:23:00+00:00,0.0,,8142.6594,8154.666666666667
2019-10-16 13:24:00+00:00,8077.5,8064.808510638298,8141.9964,8152.73590504451
2019-10-16 13:25:00+00:00,8074.9354,8063.093137254902,8136.0345,8153.801470588235
2019-10-16 13:26:00+00:00,8074.9354,8070.5,8138.0208,8157.882352941177
2019-10-16 13:27:00+00:00,8076.2397,8070.071428571428,8142.5,8157.0
2019-10-16 13:28:00+00:00,8078.0,,8142.5,
2019-10-16 13:29:00+00:00,0.0,8064.629310344828,8142.6594,8153.97609561753
2019-10-16 13:30:00+00:00,8074.2834,8056.425199709513,8138.0208,8145.130990415336
2019-10-16 13:31:00+00:00,8058.0177,8049.148706896552,8134.0491,8137.855592654424
2019-10-16 13:32:00+00:00,8063.2156,8057.971153846154,8128.7596,8145.866666666667
2019-10-16 13:33:00+00:00,8068.5,8059.0,8132.7261,
2019-10-16 13:34:00+00:00,8068.5,8056.829819277108,8133.5,8145.120553359684
2019-10-16 13:35:00+00:00,0.0,8057.5,8131.5,8149.68661971831
2019-10-16 13:36:00+00:00,8068.4202,8060.25,8131.4035,8162.454356846473
2019-10-16 13:37:00+00:00,8072.3281,,8132.0647,8155.0
2019-10-16 13:38:00+00:00,8073.6315,8058.816831683168,8138.0208,8146.945945945946
2019-10-16 13:39:00+00:00,8069.7224,8054.323809523809,8134.0491,8145.5
2019-10-16 13:40:00+00:00,0.0,8054.918181818181,8131.5,8143.5
2019-10-16 13:41:00+00:00,0.0,8054.509803921569,8130.7423,8141.49713859169
2019-10-16 13:42:00+00:00,8062.5655,8056.975609756098,8126.1173,8141.5
2019-10-16 13:43:00+00:00,8061.9155,,8125.4571,8142.5
2019-10-16 13:44:00+00:00,8062.5,8056.5,8125.4571,8141.5
2019-10-16 13:45:00+00:00,8062.5655,8053.516949152542,8125.0,8140.0
2019-10-16 13:46:00+00:00,8062.0,,8123.4768,
2019-10-16 13:47:00+00:00,0.0,8053.49129172714,8123.0,8139.92
2019-10-16 13:48:00+00:00,8062.0,8050.633333333333,8123.0,8137.764860977948
2019-10-16 13:49:00+00:00,8060.6158,8048.307203389831,8123.0,8132.081632653061
2019-10-16 13:50:00+00:00,8059.9661,8044.308857808858,8122.816999999999,8131.0
2019-10-16 13:51:00+00:00,8058.5,8043.529241877256,8114.2486,8130.5
2019-10-16 13:52:00+00:00,8058.0177,8045.499605678234,8114.2486,8130.05
2019-10-16 13:53:00+00:00,8056.0702,8045.5,8114.2486,8129.927272727273
2019-10-16 13:54:00+00:00,8056.5,,8114.5,8128.906926406927
2019-10-16 13:55:00+00:00,8056.5,8044.5,8113.5903,8129.5
2019-10-16 13:56:00+00:00,8056.7193,8049.154454022989,8111.6158,8130.49236089997
2019-10-16 13:57:00+00:00,8054.7725,8052.514705882353,8117.5419999999995,8136.933574879227
2019-10-16 13:58:00+00:00,8059.3166,8065.432729624838,8122.1572,8144.133333333333
