Time,v60,spread60,v10,spread10,v2,spread2
2019-06-19 00:03:49.999999999 +0800 +08,155486.52606521003,9.229999999999563,40818.64857641001,6.8400000000001455,2988.36668964,2.139999999999418
2019-06-19 00:03:51.999999999 +0800 +08,153044.55409019004,9.05999999999949,42604.42761739001,6.8400000000001455,2895.46597494,1.2700000000004366
2019-06-19 00:03:53.999999999 +0800 +08,177089.28739446003,14.540000000000873,74152.33195889003,12.159999999999854,33615.67332255001,9.3799999999992
2019-06-19 00:03:55.999999999 +0800 +08,188322.89863028002,14.540000000000873,83855.76274503002,12.139999999999418,11271.914447060004,2.4200000000000728
2019-06-19 00:03:57.999999999 +0800 +08,186094.62094538996,14.30999999999949,56660.146381980005,10.30999999999949,5888.72594779,0.47999999999956344
2019-06-19 00:03:59.999999999 +0800 +08,188046.61229194998,14.30999999999949,55742.83881896,9.399999999999636,2071.05912662,2.2999999999992724
2019-06-19 00:04:01.999999999 +0800 +08,186769.78126625996,14.30999999999949,55149.78297740003,9.3799999999992,2302.41013338,2.2399999999997817
2019-06-19 00:04:03.999999999 +0800 +08,272352.5686225499,14.529999999998836,112505.21405622001,6.9099999999998545,90971.10440136997,4.799999999999272
2019-06-19 00:04:05.999999999 +0800 +08,276049.73069452,14.489999999999782,113711.89945764001,6.9099999999998545,12478.599848479998,4.200000000000728
2019-06-19 00:04:07.999999999 +0800 +08,275490.63025120005,14.790000000000873,115931.85645517998,7.210000000000946,8108.68294533,4.020000000000437
2019-06-19 00:04:09.999999999 +0800 +08,271750.8384839,14.800000000001091,116662.78157992,7.220000000001164,2801.9842513599997,0.4900000000016007
2019-06-19 00:04:11.999999999 +0800 +08,276423.22667847,14.800000000001091,122597.68829907,5.110000000000582,8237.31685253,3.850000000000364
2019-06-19 00:04:13.999999999 +0800 +08,275623.1352211399,14.800000000001091,35911.526006730004,4.720000000001164,4284.94210903,0.21000000000094587
